Location,City,Bedrooms,Bathrooms,Parking,Price
 Westlands, Nairobi,3,2,2,KSh 140 000
 Spring Valley, Nairobi,5,6,2,KSh 300 000
,,4,4,2,KSh 82 000
,,5,5,4,KSh 450 000
Kiambu Road, Nairobi,3,3,2,KSh 65 000
,,5,5,"Floor Size:

                            300
                        
                        m²",KSh 150 000
Parklands, Nairobi,1,1,,KSh 45 000
 Kilimani, Nairobi,3,,,KSh 150 000
Ngong Rd, Nairobi,2,1,,KSh 35 000
Ngong Rd, Nairobi,2,2,,KSh 55 000
 Westlands, Nairobi,2,2,2,KSh 85 000
 Westlands, Nairobi,4,4,2,KSh 250 000
,,1,1,1,KSh 50 000
,,5,6,"Erf Size:

                            0.5
                        
                        acres",KSh 250 000
Kilimani, Nairobi,4,4,4,KSh 250 000
Kilimani, Nairobi,3,3,2,KSh 105 000
Kerarapon, Nairobi,3,2,,KSh 50 000
Karen, Nairobi,5,4,"Erf Size:

                            2,025
                        
                        m²",KSh 200 000
 Kileleshwa, Nairobi,5,4,3,KSh 150 000
 Lavington, Nairobi,2,2,2,KSh 70 000
Kilimani, Nairobi,4,4,4,KSh 250 000
Kileleshwa, Nairobi,2,3,2,KSh 70 000
Kileleshwa, Nairobi,3,4,2,KSh 80 000
Kileleshwa, Nairobi,2,3,2,KSh 70 000
Kileleshwa, Nairobi,3,4,2,KSh 80 000
 Kilimani, Nairobi,3,3,2,KSh 85 000
Utawala, Nairobi,2,1,,KSh 26 000
Kilimani, Nairobi,3,3,,KSh 100 000
Kilimani, Nairobi,3,2,,KSh 120 000
,,3,3,,KSh 300 000
 Upper Hill, Nairobi,3,3,,KSh 120 000
Karen, Nairobi,5,5,,KSh 300 000
 Riverside, Nairobi,3,3,2,KSh 300 000
,,3,3,,KSh 330 000
 Lavington, Nairobi,4,3,2,KSh 90 000
Uthiru, Nairobi,2,2,"Floor Size:

                            120
                        
                        m²",KSh 40 000
,,2,2,2,KSh 60 000
 Lower Kabete, Nairobi,2,2,2,KSh 160 000
 Kileleshwa, Nairobi,5,,,KSh 180 000
 Lavington, Nairobi,5,5,,KSh 450 000
 Lavington, Nairobi,5,5,,KSh 250 000
 Westlands, Nairobi,1,1,,KSh 95 000
 Lower Kabete, Nairobi,5,5,,KSh 700 000
 Lavington, Nairobi,5,5,,KSh 450 000
 Lavington, Nairobi,5,5,,KSh 450 000
Lavington, Nairobi,2,2,,KSh 100 000
Loresho, Nairobi,3,3,"Floor Size:

                            180
                        
                        m²",KSh 80 000
 Lavington, Nairobi,2,2,2,KSh 75 000
Gigiri, Nairobi,2,2,2,KSh 550 000
 Lower Kabete, Nairobi,4,4,2,KSh 170 000
 Kilimani, Nairobi,2,2,2,KSh 65 000
Lavington, Nairobi,3,4,2,KSh 100 000
 Lavington, Nairobi,3,3,,KSh 140 000
,,4,3,"Floor Size:

                            220
                        
                        m²",KSh 120 000
 Karen, Nairobi,4,5,2,KSh 250 000
 Karen, Nairobi,4,5,2,KSh 185 000
 Karen, Nairobi,4,5,2,KSh 280 000
 Loresho, Nairobi,4,4,,KSh 180 000
 Syokimau, Nairobi,3,2,,KSh 40 000
 Muthaiga, Nairobi,4,4,4,KSh 500 000
 Kilimani, Nairobi,6,4,4,KSh 230 000
 Karen, Nairobi,5,6,2,KSh 350 000
,,6,7,2,KSh 400 000
 Lavington, Nairobi,5,5,2,KSh 250 000
 Kerarapon, Nairobi,4,5,2,KSh 160 000
 Muthaiga, Nairobi,4,4,4,KSh 500 000
 Kilimani, Nairobi,4,4,"Floor Size:

                            300
                        
                        m²",KSh 180 000
,,4,4,"Floor Size:

                            4,200
                        
                        m²",KSh 400 000
Thome, Nairobi,,,,KSh 32 000
Langata, Nairobi,1,1,,KSh 37 000
,,3,3,2,KSh 190 000
 Spring Valley, Nairobi,5,5,2,KSh 380 000
 Spring Valley, Nairobi,4,4,4,KSh 200 000
 Lavington, Nairobi,2,2,2,KSh 75 000
,,3,3,2,KSh 120 000
Karen, Nairobi,3,3,1,KSh 150 000
 Kileleshwa, Nairobi,2,2,,KSh 70 000
 Kilimani, Nairobi,3,2,2,KSh 65 000
Kileleshwa, Nairobi,3,3,,KSh 75 000
Karen, Nairobi,5,5,"Floor Size:

                            500
                        
                        m²",KSh 360 000
 Milimani, Nairobi,3,3,2,KSh 80 000
Kilimani, Nairobi,3,3,,KSh 95 000
 Lavington, Nairobi,5,5,3,KSh 250 000
 Loresho, Nairobi,5,3,2,KSh 150 000
 Kilimani, Nairobi,4,4,2,KSh 130 000
Parklands, Nairobi,4,4,2,KSh 140 000
,,3,3,"Floor Size:

                            200
                        
                        m²",KSh 250 000
,,3,3,"Floor Size:

                            200
                        
                        m²",KSh 250 000
 Kitisuru, Nairobi,5,6,2,KSh 400 000
,,5,5,4,KSh 550 000
 Lavington, Nairobi,2,2,2,KSh 75 000
 Lavington, Nairobi,4,4,"Floor Size:

                            280
                        
                        m²",KSh 240 000
,,3,2.5,"Floor Size:

                            1,800
                        
                        m²",KSh 210 000
 Thome, Nairobi,3,2,,KSh 140 000
 Kileleshwa, Nairobi,2,2,2,KSh 70 000
Kitisuru, Nairobi,5,5,2,KSh 230 000
 Spring Valley, Nairobi,4,3,2,KSh 300 000
 Westlands, Nairobi,4,2,2,KSh 100 000
 Kilimani, Nairobi,4,4,2,KSh 130 000
 Muthaiga, Nairobi,5,5,5,KSh 550 000
 Kileleshwa, Nairobi,2,2,2,KSh 80 000
,,3,3,"Floor Size:

                            180
                        
                        m²",KSh 120 000
 Kyuna, Nairobi,3,3,,KSh 200 000
 Kilimani, Nairobi,3,3,2,KSh 95 000
 Runda, Nairobi,4,4,2,KSh 250 000
Karen, Nairobi,5,6,2,KSh 330 000
 Lavington, Nairobi,2,2,2,KSh 80 000
 Lavington, Nairobi,5,5,,KSh 230 000
 Lavington, Nairobi,4,4,"Floor Size:

                            280
                        
                        m²",KSh 240 000
 Kilimani, Nairobi,2,3,,KSh 90 000
 Lavington, Nairobi,4,4,2,KSh 2 000
 Karen, Nairobi,4,5,2,KSh 200 000
 Karen, Nairobi,5,5,3,KSh 300 000
 Runda, Nairobi,5,5,3,KSh 380 000
 Loresho, Nairobi,3,3,,KSh 65 000
 Kilimani, Nairobi,3,3,2,KSh 100 000
 Kilimani, Nairobi,3,3,2,KSh 70 000
,,4,3,2,KSh 120 000
 Karen, Nairobi,4,4,5,KSh 320 000
 Gigiri, Nairobi,4,4,,KSh 320 000
,,3,3,2,KSh 75 000
,,2,2,,KSh 150 000
Kileleshwa, Nairobi,3,3,,KSh 110 000
 Spring Valley, Nairobi,4,4,2,KSh 160 000
Riverside, Nairobi,5,3,,KSh 200 000
 Lavington, Nairobi,3,3,2,KSh 160 000
,,3,3,"Floor Size:

                            180
                        
                        m²",KSh 100 000
 Lavington, Nairobi,5,5,2,KSh 230 000
Kilimani, Nairobi,3,3,,KSh 80 000
 Spring Valley, Nairobi,4,4,2,KSh 3 000
 Karen, Nairobi,4,5,2,KSh 200 000
 Karen, Nairobi,4,5,2,KSh 300 000
 Lavington, Nairobi,5,5,,KSh 220 000
 Kileleshwa, Nairobi,3,3,"Floor Size:

                            2,600
                        
                        m²",KSh 140 000
 Westlands, Nairobi,3,2,,KSh 90 000
,,"Floor Size:

                            40
                        
                        m²",40,"Erf Size:

                            0.5
                        
                        acres",KSh 44 000
Muthaiga North, Nairobi,5,5,2,KSh 350 000
,,3,3,2,KSh 140 000
,,3,3,,KSh 150 000
 Lavington, Nairobi,6,6,2,KSh 280 000
Kilimani, Nairobi,2,3,2,KSh 70 000
Kilimani, Nairobi,2,3,2,KSh 70 000
Kilimani, Nairobi,3,4,2,KSh 80 000
,,4,4,4,KSh 300 000
Westlands, Nairobi,2,2,,KSh 300 000
 Kilimani, Nairobi,3,2,2,KSh 105 000
 Lavington, Nairobi,3,3,2,KSh 95 000
,,4,4,4,KSh 300 000
Mombasa Rd, Nairobi,,,,KSh 900 000
Mombasa Rd, Nairobi,,,,KSh 607 500
Mombasa Rd, Nairobi,,,,KSh 585 000
Kileleshwa, Nairobi,3,4,2,KSh 85 000
 Kileleshwa, Nairobi,5,5,2,KSh 175 000
 Westlands, Nairobi,3,2,2,KSh 65 000
Spring Valley, Nairobi,5,5,"Erf Size:

                            0.5
                        
                        acres",KSh 350 000
 Rosslyn, Nairobi,1,1,1,KSh 90 000
Lavington, Nairobi,5,5,,KSh 300 000
Spring Valley, Nairobi,5,5,"Erf Size:

                            0.5
                        
                        acres",KSh 350 000
,,2,2,,KSh 260 000
,,2,3,"Floor Size:

                            160
                        
                        m²",KSh 250 000
 Peponi, Nairobi,5,5,2,KSh 280 000
Karen, Nairobi,2,2,"Erf Size:

                            0.25
                        
                        acres",KSh 65 000
 Lavington, Nairobi,5,5,2,KSh 300 000
Kahawa sukari, Nairobi,4,3,6,KSh 85 000
 Kilimani, Nairobi,3,3,,KSh 95 000
,,3,3,3,KSh 200 000
,,2,2,"Floor Size:

                            110
                        
                        m²",KSh 65 000
,,2,2,2,KSh 100 000
Westlands, Nairobi,3,3,"Floor Size:

                            190
                        
                        m²",KSh 130 000
Westlands, Nairobi,3,3,"Floor Size:

                            190
                        
                        m²",KSh 130 000
 Karen, Nairobi,6,6,,KSh 300 000
 Loresho, Nairobi,4,3,,KSh 170 000
 Runda, Nairobi,5,5,2,KSh 250 000
 Kileleshwa, Nairobi,2,2,2,KSh 70 000
 Lavington, Nairobi,2,2,"Floor Size:

                            200,200
                        
                        m²",KSh 230 000
 Lavington, Nairobi,4,4,"Floor Size:

                            456
                        
                        m²",KSh 100 000
 Westlands, Nairobi,3,3,2,KSh 110 000
 Kilimani, Nairobi,2,2,2,KSh 80 000
 Lavington, Nairobi,5,5,,KSh 300 000
 Lavington, Nairobi,3,2,2,KSh 85 000
 Riverside, Nairobi,1,1,1,KSh 85 000
Kilimani, Nairobi,3,4,2,KSh 80 000
 Westlands, Nairobi,3,2,,KSh 85 000
 Karen, Nairobi,3,3,"Floor Size:

                            1,500
                        
                        m²",KSh 175 000
,,3,2,2,KSh 80 000
 Westlands, Nairobi,3,3,,KSh 100 000
Runda, Nairobi,4,4,3,KSh 350 000
Kileleshwa, Nairobi,4,4,2,KSh 140 000
Ruaka, Nairobi,2,2,,KSh 4 500
Karen, Nairobi,1,1,"Erf Size:

                            0.5
                        
                        acres",KSh 80 000
Westlands, Nairobi,,,,KSh 20 000
,,4,5,,KSh 360 000
Kilimani, Nairobi,3,4,2,KSh 80 000
Kilimani, Nairobi,3,4,2,KSh 80 000
 Kitisuru, Nairobi,4,4,2,KSh 280 000
Parklands, Nairobi,3,2,2,KSh 90 000
 Kileleshwa, Nairobi,4,5,2,KSh 230 000
 Kileleshwa, Nairobi,3,3,,KSh 140 000
 Karen, Nairobi,4,5,2,KSh 200 000
,,2,2,2,KSh 140 000
 Westlands, Nairobi,1,1,2,KSh 130 000
 Karen, Nairobi,4,5,2,KSh 220 000
 Riverside, Nairobi,3,3,,KSh 150 000
,,4,5,2,KSh 250 000
 Kitisuru, Nairobi,4,4,,KSh 400 000
 Spring Valley, Nairobi,4,4,,KSh 300 000
 Kilimani, Nairobi,4,3,2,KSh 90 000
Kilimani, Nairobi,1,1,1,KSh 45 000
Kilimani, Nairobi,2,2,,KSh 65 000
Riruta, Nairobi,2,2,,KSh 25 000
Riverside, Nairobi,3,3,2,KSh 220 000
,,2,2,"Floor Size:

                            300
                        
                        m²",KSh 240 000
 Karen, Nairobi,4,5,2,KSh 220 000
 Karen, Nairobi,4,5,2,KSh 300 000
 Karen, Nairobi,4,5,2,KSh 200 000
,,3,3,2,KSh 95 000
,,2,1,2,KSh 65 000
 Kitisuru, Nairobi,5,6,"Floor Size:

                            700
                        
                        m²",KSh 350 000
 Lavington, Nairobi,4,4,,KSh 160 000
 Riverside, Nairobi,3,3,2,KSh 100 000
 Karen, Nairobi,3,3,"Floor Size:

                            700
                        
                        m²",KSh 75 000
Karen, Nairobi,5,4,"Erf Size:

                            0.5
                        
                        acres",KSh 240 000
 Karen, Nairobi,4,5,"Floor Size:

                            700
                        
                        m²",KSh 130 000
Lower Kabete, Nairobi,5,4,3,KSh 390 000
,,3,3,2,KSh 95 000
 Karen, Nairobi,4,3,"Floor Size:

                            700
                        
                        m²",KSh 140 000
 Karen, Nairobi,4,3,"Floor Size:

                            700
                        
                        m²",KSh 140 000
Kilimani, Nairobi,2,3,2,KSh 65 000
Kilimani, Nairobi,2,2,2,KSh 65 000
Lavington, Nairobi,5,6,1,KSh 200 000
 Westlands, Nairobi,,,,KSh 40 000
 Nyari, Nairobi,"Erf Size:

                            450
                        
                        m²",450,,KSh 450 000
 Lavington, Nairobi,4,2,,KSh 290 000
