City,Location,Area,Bedrooms,Bathrooms,Generator,Furnished,Internet,Gym,Balcony,Parking,Ensuite,Lift,Price
Nairobi,Lavington,Building Area 105 m²,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"220,000"
Westlands,Spring Valley,,4,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"3,300"
Nairobi,Kilimani,,2,2,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,"95,000"
Westlands,Riverside,,3,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,"180,000"
Westlands,Westlands Area,,4,4,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,"180,000"
Westlands,Westlands Area,,1,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,"180,000"
Westlands,Westlands Area,,2,2,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,"180,000"
Westlands,Westlands Area,,2,2,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,"55,000"
Westlands,Westlands Area,,3,3,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,"60,000"
Westlands,Riverside,,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"350,000"
Kiambu County,Ruaka,,2,2,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,"35,000"
Westlands,Waiyaki Way,,3,3,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,"60,000"
Westlands,Waiyaki Way,,2,2,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,"55,000"
Westlands,Brookside,,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"2,750"
Nairobi,Kiambu Road,,3,3,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,"55,000"
Westlands,Westlands Area,,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"250,000"
Nairobi,Lavington,,3,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"100,000"
Nairobi,Kileleshwa,Building Area 149 m²,3,4,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,"110,000"
Nairobi,Kilimani,Building Area 1205 ft²,2,2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,"200,000"
Westlands,General Mathenge,Building Area 200 m²,3,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"145,000"
Nairobi,Kilimani,,2,2,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,"130,000"
Nairobi,Kilimani,,3,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,"85,000"
Westlands,Riverside,,3,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"230,000"
Nairobi,Kileleshwa,,,,,,,,,,,,
Westlands,Parklands,Building Area 210 m²,3,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"280,000"
Westlands,Westlands Area,,3,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"150,000"
Nairobi,Thika Road,,2,2,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,"170,000"
