Location,City,Bedrooms,Bathrooms,Parking,Price
 Lavington, Nairobi,3,3,,KSh 65 000
 Kilimani, Nairobi,1,,,KSh 120 000
Rosslyn, Nairobi,4,4,,KSh 240 000
Loresho, Nairobi,2,2,,KSh 75 000
Runda, Nairobi,,,,KSh 400 000
,,4,5,,KSh 200 000
,,3,3,,KSh 150 000
Lakeview, Nairobi,4,3,3,KSh 350 000
 Lavington, Nairobi,4,4,,KSh 170 000
Kilimani, Nairobi,3,2,,KSh 75 000
Lavington, Nairobi,1,1,1,KSh 42 000
Lavington, Nairobi,4,4,,KSh 170 000
Lavington, Nairobi,4,4,,KSh 200 000
Rosslyn, Nairobi,4,4,,KSh 240 000
 Nyari, Nairobi,5,6,2,KSh 400 000
Kilimani, Nairobi,3,2,,KSh 100 000
Kitisuru, Nairobi,4,5,2,KSh 470 000
 Kileleshwa, Nairobi,2,2,2,KSh 140 000
,,2,2,"Floor Size:

                            100
                        
                        m²",KSh 75 000
,,5,5,,KSh 400 000
Lavington, Nairobi,3,3,2,KSh 130 000
Ngong Rd, Nairobi,2,2,,KSh 50 000
 Kileleshwa, Nairobi,2,2,2,KSh 65 000
Kyuna, Nairobi,5,6,,KSh 230 000
 Kilimani, Nairobi,3,3,,KSh 75 000
Kilimani, Nairobi,3,2,,KSh 100 000
 Westlands, Nairobi,4,4,2,KSh 170 000
Westlands, Nairobi,2,2,,KSh 10 000
 Kilimani, Nairobi,3,2,2,KSh 90 000
Lower Kabete, Nairobi,4,4,,KSh 250 000
 Kileleshwa, Nairobi,3,3,2,KSh 85 000
 Lavington, Nairobi,5,5,3,KSh 150 000
Nyari, Nairobi,5,5,2,KSh 350 000
Gigiri, Nairobi,5,5,4,KSh 250 000
Gigiri, Nairobi,4,4,3,KSh 350 000
Gigiri, Nairobi,4,4,3,KSh 350 000
 Kileleshwa, Nairobi,3,3,,KSh 80 000
,,4,4,2,KSh 320 000
,,2,,,KSh 250 000
 Lavington, Nairobi,4,5,2,KSh 300 000
 Westlands, Nairobi,4,5,2,KSh 175 000
 Kileleshwa, Nairobi,1,1,,KSh 110 000
 Runda, Nairobi,5,6,2,KSh 550 000
Kileleshwa, Nairobi,4,4,2,KSh 140 000
 Kyuna, Nairobi,4,5,2,KSh 450 000
,,5,5,3,KSh 300 000
,,5,6,5,KSh 250 000
,,3,4,,KSh 200 000
Lavington, Nairobi,1,1,,KSh 45 000
Westlands, Nairobi,2,2,,KSh 96 000
 Lavington, Nairobi,3,4,2,KSh 75 000
,,4,4,,KSh 250 000
 Lavington, Nairobi,4,3,3,KSh 140 000
Westlands, Nairobi,3,4,2,KSh 100 000
,,4,4,,KSh 425 000
,,3,4,,KSh 200 000
,,3,4,,KSh 200 000
 Kitisuru, Nairobi,5,6,2,KSh 450 000
 Westlands, Nairobi,3,3,3,KSh 85 000
 Spring Valley, Nairobi,2,2,,KSh 250 000
 Karen, Nairobi,4,4,"Erf Size:

                            0.5
                        
                        acres",KSh 200 000
