,Bedrooms,Bathrooms,Price,City,Location
298,1,1,110000, Nairobi,Kileleshwa
299,4,2,57750, Nairobi, Kahawa Wendani
300,2,3,65000, Nairobi,Kilimani
301,3,3,78000,,
302,4,5,300000, Nairobi,Muthaiga
303,1,1,150000, Mombasa,Nyali
304,4,2,165000, Nairobi,Westlands
305,3,3,55000, Kikuyu, Kikuyu
306,1,1,55000, Mombasa,Shanzu
307,2,2,75000, Nairobi, Westlands
308,2,2,75000,,
309,2,2,55000, Nairobi, Kileleshwa
310,3,3,75000, Nairobi,Kilimani
311,3,2,45000,,
312,2,3,65000, Nairobi, Spring Valley
313,2,2,100000, Nairobi,Westlands
314,3,3,80000, Nairobi, Lavington
315,3,3,200000, Nairobi, Riverside
316,3,4,70000, Nairobi,Kileleshwa
317,3,2,38000, Mombasa, Nyali
318,3,3,80000, Nairobi, Lavington
319,1,1,110000, Nairobi,Kileleshwa
320,4,2,57750, Nairobi, Kahawa Wendani
321,2,3,65000, Nairobi,Kilimani
322,3,3,78000,,
323,4,5,300000, Nairobi,Muthaiga
324,1,1,150000, Mombasa,Nyali
325,4,2,165000, Nairobi,Westlands
326,3,3,55000, Kikuyu, Kikuyu
327,1,1,55000, Mombasa,Shanzu
328,2,2,75000, Nairobi, Westlands
329,2,2,75000,,
330,2,2,55000, Nairobi, Kileleshwa
331,3,3,75000, Nairobi,Kilimani
332,3,2,45000,,
333,2,3,65000, Nairobi, Spring Valley
334,2,3,65000, Nairobi, Spring Valley
335,2,2,100000, Nairobi,Westlands
336,3,3,200000, Nairobi, Riverside
337,3,4,70000, Nairobi,Kileleshwa
338,3,2,38000, Mombasa, Nyali
339,3,3,80000, Nairobi, Lavington
340,1,1,110000, Nairobi,Kileleshwa
341,4,2,57750, Nairobi, Kahawa Wendani
342,2,3,65000, Nairobi,Kilimani
343,3,3,78000,,
344,4,5,300000, Nairobi,Muthaiga
345,1,1,150000, Mombasa,Nyali
346,4,2,165000, Nairobi,Westlands
347,3,3,55000, Kikuyu, Kikuyu
348,1,1,55000, Mombasa,Shanzu
349,2,2,75000, Nairobi, Westlands
350,2,2,75000,,
351,2,2,55000, Nairobi, Kileleshwa
352,3,3,75000, Nairobi,Kilimani
353,3,2,45000,,
354,2,3,65000, Nairobi, Spring Valley
355,2,2,100000, Nairobi,Westlands
356,3,4,70000, Nairobi,Kileleshwa
357,3,3,200000, Nairobi, Riverside
358,3,4,70000, Nairobi,Kileleshwa
359,3,2,38000, Mombasa, Nyali
360,3,3,80000, Nairobi, Lavington
361,2,2,75000, Nairobi, Westlands
362,1,1,110000, Nairobi,Kileleshwa
363,4,2,57750, Nairobi, Kahawa Wendani
364,2,3,65000, Nairobi,Kilimani
365,3,3,78000,,
366,4,5,300000, Nairobi,Muthaiga
367,1,1,150000, Mombasa,Nyali
368,4,2,165000, Nairobi,Westlands
369,3,3,55000, Kikuyu, Kikuyu
370,1,1,55000, Mombasa,Shanzu
371,2,2,75000, Nairobi, Westlands
372,2,2,75000,,
373,2,2,55000, Nairobi, Kileleshwa
374,3,3,75000, Nairobi,Kilimani
375,3,2,45000,,
376,2,3,65000, Nairobi, Spring Valley
377,2,2,100000, Nairobi,Westlands
378,3,3,200000, Nairobi, Riverside
379,3,4,70000, Nairobi,Kileleshwa
380,3,2,38000, Mombasa, Nyali
