Price,Bedrooms,Bathrooms,City,Location
"65,000",1.0,1.0,Nairobi,Kilimani
"65,000",3.0,2.0,Nairobi,Kileleshwa
"65,000",3.0,2.0,Nairobi, Riverside
"65,000",2.0,2.0,Nairobi, Kilimani
"65,000",3.0,2.0,Nairobi, Kileleshwa
"65,000",3.0,3.0,Nairobi,Waiyaki Way
"65,000",1.0,,Nairobi, Mombasa Road
"65,000",2.0,2.0,Nairobi, Lavington
"65,000",2.0,2.0,Nairobi, Westlands Area
"65,000",2.0,,Nairobi,Lavington
"65,000",2.0,3.0,Nairobi, Kilimani
"65,000",2.0,,Nairobi, Brookside
"65,000",3.0,,Nairobi,Nyali Area
"65,000",2.0,2.0,Nairobi,Kilimani
"65,000",2.0,2.0,Nairobi,Kilimani
"65,000",2.0,,Nairobi,Valley Arcade
"65,000",2.0,2.0,Nairobi,Kileleshwa
"65,000",2.0,2.0,Nairobi, Kilimani
"65,000",1.0,2.0,Nairobi, Kilimani
"65,000",2.0,2.0,Nairobi,Kileleshwa
"65,000",3.0,2.0,Nairobi,Kileleshwa
"65,000",2.0,2.0,Nairobi,Kileleshwa
"65,000",3.0,3.0,Nairobi, Lavington
"65,000",3.0,3.0,Nairobi, Westlands Area
"65,000",3.0,2.0,Nairobi,Ngong Road
"65,000",1.0,1.0,Nairobi, Kilimani
"65,000",2.0,2.0,Nairobi,Kileleshwa
"65,000",1.0,1.0,Nairobi, Lavington
"65,000",2.0,2.0,Nairobi, Kilimani
"65,000",3.0,2.0,Nairobi, Kilimani
"65,000",2.0,2.0,Nairobi, Kilimani
"65,000",2.0,2.0,Nairobi, Kilimani
"65,000",3.0,2.0,Nairobi,Rhapta Road
"65,000",2.0,2.0,Nairobi,Kileleshwa
"65,000",3.0,2.0,Nairobi, Mkomani
"65,000",2.0,,Nairobi, Westlands Area
"65,000",2.0,2.0,Nairobi, Lavington
"65,000",2.0,2.0,Nairobi, Valley Arcade
"65,000",2.0,2.0,Nairobi,Kileleshwa
"65,000",3.0,,Nairobi, State House
"65,000",3.0,,Nairobi,Thindigua
"65,000",2.0,,Nairobi,Kileleshwa
"65,000",2.0,2.0,Nairobi, Loresho
"65,000",2.0,,Nairobi,Kileleshwa
"65,000",0.0,1.0,Nairobi,Nairobi West
"65,000",2.0,,Nairobi,Kilimani
"65,000",3.0,2.0,Nairobi,Kileleshwa
"65,000",3.0,,Nairobi, Lavington
"66,000",3.0,1.0,Nairobi, Kiambu Road
"66,000",3.0,2.0,Nairobi, Ngong Road
"67,000",3.0,3.0,Nairobi,Westlands Area
"67,000",2.0,2.0,Nairobi,Kileleshwa
"67,500",2.0,2.0,Nairobi, Brookside
"67,500",3.0,2.0,Nairobi, Lavington
"68,000",3.0,2.0,Nairobi,Kileleshwa
"68,000",2.0,2.0,Nairobi, Lavington
"69,997",2.0,2.0,Nairobi, Parklands
"70,000",2.0,2.0,Nairobi, Kileleshwa
"70,000",2.0,,Nairobi, Kileleshwa
"70,000",2.0,,Nairobi,Kilimani
"70,000",3.0,3.0,Nairobi,Kilimani
"70,000",3.0,2.0,Nairobi, Kilimani
"70,000",3.0,2.0,Nairobi, Kiambu Road
"70,000",3.0,3.0,Nairobi, Kiambu Road
"70,000",3.0,2.0,Nairobi, Kiambu Road
"70,000",3.0,2.0,Nairobi, Kiambu Road
"70,000",3.0,2.0,Nairobi, Kilimani
"70,000",3.0,2.0,Nairobi, Kilimani
"70,000",3.0,2.0,Nairobi, Kileleshwa
"70,000",3.0,2.0,Nairobi,Kilimani
"70,000",3.0,2.0,Nairobi, Kilimani
"70,000",3.0,2.0,Nairobi,Kahawa West
"70,000",3.0,,Nairobi,Waiyaki Way
"70,000",2.0,2.0,Nairobi,Lavington
"70,000",2.0,,Nairobi,Valley Arcade
"70,000",3.0,,Nairobi, Thika Road
"70,000",2.0,2.0,Nairobi,Kileleshwa
"70,000",2.0,,Nairobi,Kilimani
"70,000",2.0,,Nairobi,Kilimani
"70,000",2.0,3.0,Nairobi,Milimani
"70,000",3.0,2.0,Nairobi,Mountain View
"70,000",3.0,2.0,Nairobi,Kiambu Road
"70,000",2.0,2.0,Nairobi, Rhapta Road
"70,000",3.0,2.0,Nairobi, Kilimani
"70,000",4.0,3.0,Nairobi, kizingo
"70,000",2.0,3.0,Nairobi,Westlands Area
"70,000",3.0,,Nairobi, Kilimani
"70,000",3.0,2.0,Nairobi, Kilimani
"70,000",4.0,4.0,Nairobi, Zimmermann
"70,000",2.0,,Nairobi, Runda
"70,000",3.0,2.0,Nairobi,Ruaka
"70,000",2.0,2.0,Nairobi, Parklands
"70,000",2.0,,Nairobi, Runda
"70,000",3.0,,Nairobi,Lavington
"70,000",3.0,2.0,Nairobi, Lavington
"70,000",3.0,4.0,Nairobi, Nyali Area
"70,000",2.0,3.0,Nairobi,Kilimani
"70,000",2.0,2.0,Nairobi, Kileleshwa
"70,000",2.0,2.0,Nairobi,Westlands Area
"70,000",3.0,,Nairobi, Westlands Area
"70,000",2.0,,Nairobi,Kileleshwa
"70,000",2.0,2.0,Nairobi,Kileleshwa
"70,000",3.0,2.0,Nairobi,Kileleshwa
"70,000",3.0,3.0,Nairobi, Lavington
"70,000",2.0,3.0,Nairobi, Westlands Area
"70,000",3.0,2.0,Nairobi, Rhapta Road
"70,000",3.0,3.0,Nairobi, Lavington
"70,000",3.0,,Nairobi,Lavington
"70,000",2.0,,Nairobi,Kileleshwa
"70,000",1.0,,Nairobi,Kilimani
"70,000",3.0,2.0,Nairobi, Ngong Road
"70,000",3.0,3.0,Nairobi, Waiyaki Way
"70,000",2.0,2.0,Nairobi, Kilimani
"70,000",3.0,2.0,Nairobi, Kilimani
"70,000",3.0,2.0,Nairobi, Parklands
"70,000",2.0,1.0,Nairobi,Lavington
"70,000",3.0,2.0,Nairobi,Ngong Road
"70,000",3.0,2.0,Nairobi, Parklands
"70,000",2.0,2.0,Nairobi, Kileleshwa
"70,000",2.0,2.0,Nairobi, Kilimani
"70,000",1.0,1.0,Nairobi,Lavington
"70,000",3.0,3.0,Nairobi, Kileleshwa
"70,000",3.0,2.0,Nairobi, Valley Arcade
"70,000",4.0,5.0,Nairobi,Kiambu Road
"70,000",4.0,5.0,Nairobi,Kiambu Road
"70,000",2.0,,Nairobi,Westlands Area
"70,000",4.0,5.0,Nairobi,Madaraka
"70,000",3.0,,Nairobi,Kilimani
"70,000",2.0,,Nairobi,Kilimani
"72,000",3.0,3.0,Nairobi, Kiambu Road
"72,500",2.0,2.0,Nairobi,Kileleshwa
"73,000",3.0,4.0,Nairobi, Shanzu
"75,000",2.0,2.0,Nairobi, Westlands Area
"75,000",3.0,3.0,Nairobi,Thindigua
"75,000",2.0,2.0,Nairobi, Westlands Area
"75,000",3.0,2.0,Nairobi,Kilimani
