Price,Bedrooms,Bathrooms,City,Location
45000,2,2,Nairobi,Langata Area
45000,2,2,Nairobi,Langata Area
45000,1,1,Nairobi, Lavington
45000,3,,Nairobi,Imara Daima
45000,3,4,Nairobi,Syokimau
45000,2,2,Nairobi,Kiambu Road
45000,4,4,Nairobi, Juja
45000,3,2,Nairobi, Ruaka
45000,2,2,Nairobi, Ruaka
45000,3,3,Nairobi, Nyali Area
45000,2,1,Nairobi,Ngong Road
45000,1,1,Nairobi, Kileleshwa
45000,2,,Nairobi,Langata Area
45000,1,1,Nairobi, Kilimani
45000,2,,Nairobi,Parklands
45000,3,,Nairobi,Karen
45000,2,2,Nairobi,Kiambu Road
45000,2,,Nairobi, Parklands
45000,3,2,Nairobi, Mountain View
45000,3,2,Nairobi, Mountain View
46500,2,2,Nairobi,Kiambu Road
47000,3,2,Nairobi,Ruaka
48000,2,,Nairobi, Nairobi West
48000,2,3,Nairobi,Ngong Road
48000,1,1,Nairobi,Kilimani
48000,2,1,Nairobi, Madaraka
48000,2,2,Nairobi, Karen
48000,3,2,Nairobi, South B
50000,3,2,Nairobi, Ruaka
50000,3,3,Nairobi, Nyali Area
50000,2,2,Nairobi,Waiyaki Way
50000,2,,Nairobi,Kileleshwa
50000,3,2,Nairobi, Kitisuru
50000,3,3,Nairobi, Kiambu Road
50000,3,1,Nairobi, Nairobi West
50000,3,2,Nairobi, Kamiti
50000,1,,Nairobi,Westlands Area
50000,2,2,Nairobi, Karen
50000,3,2,Nairobi, Ngong Road
50000,3,2,Nairobi,Ngong Road
50000,2,2,Nairobi, Kiambu Road
50000,2,2,Nairobi, Kiambu Road
50000,1,1,Nairobi, Kiambu Road
50000,3,,Nairobi,Imara Daima
50000,3,2,Nairobi,Nairobi West
50000,1,1,Nairobi,Rhapta Road
50000,3,3,Nairobi, Kiambu Road
50000,3,,Nairobi,Thindigua
50000,2,,Nairobi,Upper Hill
50000,3,2,Nairobi,Imara Daima
50000,2,1,Nairobi, Parklands
50000,1,1,Nairobi,Upper Hill
50000,3,3,Nairobi, Ngong
50000,3,3,Nairobi,Kiambu Road
50000,1,,Nairobi,Kilimani
50000,0,1,Nairobi,Waiyaki Way
51000,3,3,Nairobi,Ruaka
52000,2,2,Nairobi, Riara Road
52000,2,3,Nairobi, Kiambu Road
52000,2,2,Nairobi,Kiambu Road
52500,2,1,Nairobi, Kilimani
54000,3,3,Nairobi, Ruaka
54000,3,2,Nairobi,Ruaka
55000,2,2,Nairobi, Uthiru/Ruthimitu
55000,2,2,Nairobi,Kilimani
55000,1,1,Nairobi, Kileleshwa
55000,3,1,Nairobi, Waiyaki Way
55000,2,2,Nairobi,Kileleshwa
55000,1,2,Nairobi,Rhapta Road
55000,3,2,Nairobi,Kiambu Road
55000,3,3,Nairobi, Thindigua
55000,2,2,Nairobi,Kahawa West
